"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Заголовки","","0","0","7","0","0"
"","Текст в блоке","","0","0","8","0","0"
"","Footer","","0","0","1","0","0"
"","Логотипы","","0","0","4","0","0"
"","Переход на сторонний ресурс","","0","0","7","0","0"
"","Кнопки","","0","0","4","0","0"
"","Линки в footer","","0","0","5","0","0"
"","БИГ СМОУК","","0","0","1","0","0"
"","Линки в header","","0","0","5","0","0"
"","","","0","0","1","0","0"
"","Выпадающие страницы менторов","","0","0","1","0","0"
