"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Header","Линки в header","0","0","5","0","0"
"","Блоки лендинга","Логотипы","0","0","2","0","0"
"","Блоки лендинга","Текст в блоке","0","0","7","0","0"
"","Блоки лендинга","Заголовки","0","0","7","0","0"
"","Footer","Переход на сторонний ресурс","0","0","4","0","0"
"","Footer","Линки в footer","0","0","5","0","0"
"","Блоки лендинга","Кнопки","0","0","3","0","0"
"","Блоки лендинга","Переход на сторонний ресурс","0","0","2","0","0"
"","Footer","Логотипы","0","0","1","0","0"
"","Footer","Текст в блоке","0","0","1","0","0"
"","Падающие тесты без функционала","","0","0","1","0","0"
"","Header","Логотипы","0","0","1","0","0"
"","Header","Кнопки","0","0","2","0","0"
"","БИГ СМОУК","","0","0","1","0","0"
"","Header","Переход на сторонний ресурс","0","0","1","0","0"
"","Блоки лендинга","Выпадающие страницы менторов","0","0","1","0","0"
