"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Выпадающие страницы менторов","","0","0","1","0","0"
"","Логотипы","","0","0","3","0","0"
"","Текст в блоке","","0","0","8","0","0"
"","Заголовки","","0","0","7","0","0"
"","Линки в footer","","0","0","5","0","0"
"","Переход на сторонний ресурс","","0","0","6","0","0"
"","Линки в header","Header","0","0","5","0","0"
"","Кнопки","Header","0","0","2","0","0"
"","Переход на сторонний ресурс","Header","0","0","1","0","0"
"","Кнопки","","0","0","3","0","0"
"","Падающие тесты без функционала","","0","0","1","0","0"
"","Логотипы","Header","0","0","1","0","0"
"","БИГ СМОУК","","0","0","1","0","0"
